step,nav_mode,pose_x_m,pose_y_m,pose_theta_deg,frontier_goal_x,frontier_goal_y,frontier_goal_dist,frontier_goal_cell,frontier_candidate_count,frontier_candidates,path_length,path_first_x,path_first_y,icp_pose_x,icp_pose_y,icp_pose_theta_deg,icp_rmse,icp_num_points
26,UNKNOWN,0.317839979833484,0.8108862806106045,94.54749039520455,1.5750000000000002,1.5750000000000002,1.4711631766952882,3:3,4,3:1;2:1;0:2;1:1,38,0.24,0.69,0.39698514613355546,0.7497631045532853,142.32137933977523,3.8865399913015284e-16,360
27,UNKNOWN,0.309911442100386,0.9105714765496951,62.9187092498132,1.5750000000000002,1.5750000000000002,1.4289556753457673,3:3,4,3:1;1:2;2:1;0:2,38,0.24,0.69,0.3178399798334841,0.8108862806106046,94.54749039520455,1.4160767669285608e-16,360
28,UNKNOWN,0.35543686156383003,0.9996076275372433,34.80128734202695,1.5750000000000002,1.5750000000000002,1.3484845682916067,3:3,4,3:2;2:2;1:2;0:2,34,0.24,1.14,0.3099114421003861,0.9105714765496951,62.9187092498132,1.0577763950654341e-16,360
29,UNKNOWN,0.43755050015685715,1.0566808292786365,22.764330715552745,1.5750000000000002,1.5750000000000002,1.249978450786532,3:3,4,3:2;2:2;1:2;0:2,34,0.24,1.14,0.35543686156383014,0.9996076275372435,34.801287342026946,2.886496375775758e-16,360
30,UNKNOWN,0.5297609220955737,1.0953749901544556,15.401883826404282,1.5750000000000002,1.5750000000000002,1.150028208370488,3:3,4,3:2;2:2;1:2;0:2,34,0.24,1.14,0.4375505001568568,1.056680829278636,22.76433071555275,6.01293613196468e-16,360
31,UNKNOWN,0.6261695893456247,1.121933771735487,4.998314462441704,1.5750000000000002,1.5750000000000002,1.051450500678174,3:3,4,3:2;0:2;2:2;1:2,25,0.69,1.14,0.5297609220955736,1.0953749901544556,15.401883826404285,1.6546035052467498e-16,360
32,UNKNOWN,0.7257893155080256,1.1306464153829814,2.4997239442950527,1.5750000000000002,1.5750000000000002,0.9584408666252301,3:3,4,3:2;0:2;2:2;1:2,25,0.69,1.14,0.6261695893456246,1.1219337717354867,4.998314462441704,2.4846020704348655e-16,360
33,UNKNOWN,0.8256941586812255,1.135007872769942,1.7051065662839293,1.5750000000000002,1.5750000000000002,0.8689374637215663,3:3,4,3:2;0:2;2:2;1:2,25,0.69,1.14,0.7257893155080253,1.1306464153829814,2.4997239442950554,3.930616978104537e-16,360
34,UNKNOWN,0.9256498798916244,1.1379834058833636,0.7850818945051458,1.5750000000000002,1.5750000000000002,0.7827126433232487,3:3,4,3:2;0:2;2:2;1:2,26,0.69,1.14,0.8256941586812258,1.1350078727699424,1.7051065662839286,4.974886475224491e-16,360
35,UNKNOWN,1.0256404924366245,1.139353589402324,8.528507918780777,1.5750000000000002,1.5750000000000002,0.7011302757811232,3:3,4,0:2;1:2;3:2;2:2,17,1.14,1.14,0.9256498798916242,1.1379834058833633,0.7850818945051442,3.1087173185087855e-16,360
36,UNKNOWN,1.1245347121695406,1.1541837378647515,10.286494854987321,1.5750000000000002,1.5750000000000002,0.6164457007860962,3:3,4,0:2;1:2;3:2;2:2,17,1.14,1.14,1.0256404924366243,1.139353589402324,8.528507918780777,2.236568482084306e-16,360
37,UNKNOWN,1.222927427763218,1.1720407677998124,10.804601279564464,1.5750000000000002,1.5750000000000002,0.5350992795143618,3:3,4,0:2;1:2;3:2;2:2,17,1.14,1.14,1.1245347121695404,1.1541837378647515,10.286494854987325,2.508196429196448e-16,360
38,UNKNOWN,1.3211546477072518,1.1907867876991507,29.656641451000606,1.5750000000000002,1.5750000000000002,0.46049674850878936,3:3,4,0:2;3:3;1:2;2:2,17,1.14,1.14,1.2229274277632178,1.1720407677998126,10.804601279564464,3.1401849173675503e-16,360
39,UNKNOWN,1.4080552680824796,1.2402669067208385,49.5143975493118,1.5750000000000002,1.5750000000000002,0.37405452443627624,3:3,4,0:2;3:3;1:2;2:2,17,1.14,1.14,1.321154647707251,1.1907867876991503,29.656641451000613,9.158526537252534e-16,360
40,UNKNOWN,1.4729809630313528,1.3163238205118009,58.74130714353809,1.5750000000000002,1.5750000000000002,0.27806698786195627,3:3,4,0:2;1:2;2:2;3:3,11,1.5899999999999999,1.14,1.4080552680824796,1.2402669067208385,49.5143975493118,0.0,360
41,UNKNOWN,1.5248712588848428,1.401807135820914,66.84931488737818,1.5750000000000002,1.5750000000000002,0.18030157760914303,3:3,2,0:2;1:3,11,1.5899999999999999,1.14,1.4729809630313526,1.3163238205118009,58.74130714353809,2.2331975617228817e-16,360
42,UNKNOWN,1.5641863246254764,1.4937545425587322,70.91057063880271,1.5750000000000002,1.5750000000000002,0.08196194196056161,3:3,0,,1,1.5899999999999999,1.5899999999999999,1.524871258884843,1.4018071358209145,66.84931488737818,4.965068306494546e-16,360
43,UNKNOWN,1.596775249267003,1.587921924943128,74.98623576848021,1.5750000000000002,1.5750000000000002,0.025320695584362216,3:3,0,,1,1.5899999999999999,1.5899999999999999,1.5641863246254764,1.4937545425587322,70.91057063880271,2.431021010604549e-18,360
